system,name,distance,coordinates,stellar_class
Alpha Comae Berenices (Diadem),Alpha Comae Berenices (Diadem) A,58.3  1.5,,F5V
Alpha Comae Berenices (Diadem),Alpha Comae Berenices (Diadem) B,,,F5V
Eta Coronae Borealis,Eta Coronae Borealis A,58.3  0.8,,G1V
Eta Coronae Borealis,Eta Coronae Borealis B,,,G3V
Eta Coronae Borealis,Eta Coronae Borealis C,,,L8
Gamma Coronae Australis,Gamma Coronae Australis A,58.4  2.1,,F8V
Gamma Coronae Australis,Gamma Coronae Australis B,,,F8V
WISE 02062640,WISE 02062640,58.4,,L9 pec
Tau6 Eridani,Tau6 Eridani,58.5  0.7,,F5V
HD 130948,HD 130948,58.5  0.9,,G1V
Gliese 1079,Gliese 1079,58.5  0.8,,M1V
Gliese 787,Gliese 787,58.5  1.4,,KV
Gliese 418,Gliese 418,58.5  1.4,,KV
Iota Centauri (AlhakimKulou),Iota Centauri (AlhakimKulou),58.6  0.8,,A2V
Gliese 2037,Gliese 2037,58.6  1,,KV
Gliese 3317,Gliese 3317,58.7  0.8,,KV
Gliese 18,Gliese 18,58.7  1.2,,M1V
WISE 22130911,WISE 22130911,58.7,,T7
DG Canum Venaticorum,DG Canum Venaticorum,58.76  2.32,,M4Ve
HR 4989,HR 4989,58.8  0.7,,FIV
212 Puppis,212 Puppis A,58.8  0.6,,F5V
212 Puppis,212 Puppis B,,,K3V
Delta Geminorum (Wasat),Delta Geminorum (Wasat),58.8  0.9,,F0IV
Gliese 1240,Gliese 1240,58.8  1,,M1V
Rho Geminorum,Rho Geminorum A,58.9  0.3,,F1V
Rho Geminorum,Rho Geminorum B,,,M5
Rho Geminorum,Rho Geminorum C,,,K2.5V
HD 154345,HD 154345,58.9  0.6,,G8V
HR 3220 (B Carinae),HR 3220 (B Carinae) A,58.9  0.6,,F6 V Fe-0.8 CH-0.4
HR 3220 (B Carinae),HR 3220 (B Carinae) B,,,D
Gliese 830,Gliese 830,58.9  1.5,,KV
HD 87883,HD 87883,58.9  1,,K0V
Gliese 3293,Gliese 3293,59,,M2.5V
HD 154088,HD 154088,59.0  0.9,,K0V
70 Virginis,70 Virginis,59.1  0.8,,G2.5Va
HR 2208,HR 2208,59.1  1,,GV
Chi Cancri,Chi Cancri,59.2  1,,F6V
14 Herculis,14 Herculis,59.2  0.6,,K0V
Gliese 4008,Gliese 4008,59.3  0.9,,KV
Eta Corvi,Eta Corvi,59.4  0.7,,F2V
Pi Mensae,Pi Mensae,59.4  0.5,,G1IV
HIP 38939,HIP 38939,59.4  1.3,,KV
Epsilon Reticuli,Epsilon Reticuli A,59.5  0.5,,K2IV
Epsilon Reticuli,Epsilon Reticuli B,,,D
Beta Arietis (Sheratan),Beta Arietis (Sheratan),59.6  0.8,,A5V
Psi Velorum,Psi Velorum A,59.7  1,,F3IV
Psi Velorum,Psi Velorum B,,,F0V
Gliese 1106,Gliese 1106,59.7 5.14.4,,M1V
WISE 22391617,WISE 22391617,59.7,,T3
Gliese 1120,Gliese 1120,59.8 3.73.3,,M1V
Gliese 3488,Gliese 3488,59.8  1.4,,KV
LQ Hydrae,LQ Hydrae,59.8  1.1,,KV
Gliese 131,Gliese 131,59.9  1.5,,M1V
HR 8314,HR 8314,60.0  0.9,,GV
WISE 1436-1814,WISE 1436-1814,60,,T8 pec
Delta Equulei,Delta Equulei A,60.0  1.0,,F5V
Delta Equulei,Delta Equulei B,,,G0
HD 53143,HD 53143,60.0  0.6,,K9V
15 Leonis Minoris,15 Leonis Minoris,60.1  0.8,,G0V
Gliese 339,Gliese 339,60.1  1.3,,KV
Gliese 161,Gliese 161,60.2  0.9,,M1V
Gliese 2102,Gliese 2102,60.2  1.2,,KV
Gliese 4134,Gliese 4134,60.4 9.06.9,,KV
Gliese 315,Gliese 315,60.4  1.2,,KV
Gliese 509,Gliese 509,60.4  2.5,,KV
HD 156985,HD 156985,60.4  0.8,,KV
G 185-32,G 185-32,60.4 3.53.2,,DA4.0
Gliese 610,Gliese 610,60.5  1.5,,KV
Gliese 106,Gliese 106,60.5  2.8,,M1V
HR 244,HR 244,60.6  0.7,,F9V
Theta Cygni,Theta Cygni A,60.7  0.5,,F3V
Theta Cygni,Theta Cygni B,,,M3V
Gliese 499,Gliese 499,60.7  2.2,,KV
WISE 23010216,WISE 23010216,60.7,,T6.5
Gliese 254,Gliese 254,60.8  2.0,,KV
Theta Centauri (Menkent),Theta Centauri (Menkent),60.9  0.9,,K0III
Mu Virginis,Mu Virginis,60.9  1.1,,F2IV
HD 152606,HD 152606,60.9  1.0,,KV
Gliese 902.1,Gliese 902.1,60.9  1.3,,KV
Kelu-1,Kelu-1 A,60.9  2.3,,L2
Kelu-1,Kelu-1 B,,,L4
Gliese 1094,Gliese 1094,61.0  2.3,,M1V
HR 8061,HR 8061,61.1  2.6,,FV
Tau Piscis Austrini,Tau Piscis Austrini,61.1  1.0,,F6V
HR 8148,HR 8148,61.1  1.3,,GV
HD 206804,HD 206804,61.1  1.9,,KV
Gliese 715,Gliese 715,61.2  1.2,,KV
WISE 01503827,WISE 01503827,61.3,,T0
HD 4747,HD 4747,61.4  1.2,,G8V
Gliese 249,Gliese 249,61.4  1.4,,KV
Gliese 296,Gliese 296,61.5  9.7,,KV
HD 170573,HD 170573,61.5  9.7,,KV
Gliese 1054,Gliese 1054,61.55  0.85,,M1V
6 Ceti,6 Ceti,61.6  0.9,,F8V
HR 7683,HR 7683,61.6  0.6,,GIV
Gliese 583,Gliese 583,61.6  1.8,,KV
Gliese 4287,Gliese 4287,61.6  2.3,,KV
Gliese 773,Gliese 773,61.6  1.8,,KV
WISE 21572659,WISE 21572659,61.6,,T7
Gliese 100,Gliese 100,61.7  2.3,,M1V
Eta Serpentis (Tang),Eta Serpentis (Tang),61.8  0.9,,K0IV
Gliese 689,Gliese 689,62.0  0.9,,KV
WISE 17113500,WISE 17113500,62.0  9.8,,T8
HD 139477,HD 139477,62.2  0.9,,KV
110 Herculis,110 Herculis,62.3  0.8,,F6V
HR 2643,HR 2643,62.3  1.0,,GV
WISE 17211117,WISE 17211117,62.3,,T6
HR 3625,HR 3625,62.4  1.1,,FV
Gliese 646,Gliese 646,62.4  2.4,,KV
Gliese 576,Gliese 576,62.6  2.5,,KV
Gliese 1246,Gliese 1246,62.6  1.4,,M1V
ADS 10075,ADS 10075,62.6  1.4,,KV
WISE 00490441,WISE 00490441,62.6,,L9
Rho Puppis (Tureis),Rho Puppis (Tureis),62.7  0.8,,F2mF5IIp
HD 25457,HD 25457,62.7  0.9,,FV
Gliese 292.2,Gliese 292.2,62.7  2.3,,GV
Gliese 825.3,Gliese 825.3,62.7  1.5,,KV
Gliese 3546,Gliese 3546,62.7 11.48.4,,KV
WD 0806661 (Maru),WD 0806661 (Maru) A,62.73  0.02,,DQ4.2
WD 0806661 (Maru),WD 0806661 (Maru) B,,,Y1
1 Centauri,1 Centauri,62.8  0.9,,F3IV
Gliese 1283,Gliese 1283,62.8  1.4,,M1V
HD 189733,HD 189733 A,62.8  1.1,,K1.5V
HD 189733,HD 189733 B,,,M
Beta Pictoris,Beta Pictoris,62.9  0.6,,A6V
WISE 0032-4946,WISE 0032-4946,62.9,,T8.5
HD 43587,HD 43587 A,63.0  1.0,,G0V
HD 43587,HD 43587 B,,,M0V
HD 43587,HD 43587 C,,,M3.5V
HD 43587,HD 43587 D,,,M5V
Gliese 710,Gliese 710,63.0  1.8,,K7V
WD 0806-661,WD 0806-661 A,63.0  2.0,,DQ4.2
WD 0806-661,WD 0806-661 B,,,Y
Gliese 775.1,Gliese 775.1,63.1  1.0,,GV
Gliese 1126,Gliese 1126,63.1  1.1,,M1V
Gliese 45,Gliese 45,63.1  1.3,,KV
Gliese 816.1,Gliese 816.1,63.2  0.9,,KV
Omicron Aquilae,Omicron Aquilae A,63.3  0.9,,F8V
Omicron Aquilae,Omicron Aquilae B,,,M3V
Gliese 790,Gliese 790,63.3  1.0,,GV
Gliese 9126,Gliese 9126,63.3 36.416.9,,KV
HD 274255,HD 274255,63.3 4.94.3,,MV
Alpha Chamaeleontis,Alpha Chamaeleontis,63.5  0.6,,F5V
HR 6465,HR 6465,63.5  1.1,,GV
Gliese 894.5,Gliese 894.5,63.5  1.6,,KV
Gliese 59,Gliese 59,63.6  1.1,,KV
Gliese 571.1,Gliese 571.1,63.6  2.3,,KV
WISE 08124021,WISE 08124021,63.6,,T8
HD 130004,HD 130004,63.7  1.2,,KV
c Ursae Majoris,c Ursae Majoris,63.8  0.9,,G0V
Gliese 204.1,Gliese 204.1,63.8  0.6,,GV
HIP 38594,HIP 38594,63.8  2.0,,MV
Gliese 3859,Gliese 3859,63.9  0.7,,GV
74 Orionis,74 Orionis,64.0  1.1,,FV
Gliese 3383,Gliese 3383,64.0 8.56.7,,GV
Alpha Trianguli (Mothallah),Alpha Trianguli (Mothallah) A,64.1  1.0,,F5III-F6IV
Alpha Trianguli (Mothallah),Alpha Trianguli (Mothallah) B,,,M
Eta Crucis,Eta Crucis,64.2  0.6,,F2III
Gliese 3867,Gliese 3867,64.2  1.3,,GV
HD 59747,HD 59747,64.2  1.7,,GV
Gliese 906,Gliese 906,64.2  2.1,,KV
45 Botis,45 Botis,64.3  1.0,,F5V
HD 217107,HD 217107,64.3  1.0,,G8IV
Gliese 81.2,Gliese 81.2,64.3  1.0,,KV
HD 189733 (V452 Vulpeculae),HD 189733 (V452 Vulpeculae) B,64.50  0.02,,M
HD 189733 (V452 Vulpeculae),HD 189733 (V452 Vulpeculae) A,64.42  0.02,,K1.5V
HD 220140,HD 220140,64.4  0.8,,GV
Gliese 140.1,Gliese 140.1,64.4  2.3,,M1V
Gliese 3678,Gliese 3678,64.4  1.5,,KV
EQ Virginis,EQ Virginis,64.5  1.3,,K5Ve
Gliese 3634,Gliese 3634,64.5 2.01.9,,M2.5
DENIS-P J020529.0-115925,DENIS-P J020529.0-115925,64.5 2.01.9,,L5.5
Nu Canis Majoris,Nu Canis Majoris,64.7  0.9,,K1III
Gliese 586,Gliese 586,64.8  1.5,,KV
Gliese 1164,Gliese 1164,64.8 4.43.9,,M1V
LHS 1678 (TOI-696),LHS 1678 (TOI-696),64.790.03,,M2V
22 Lyncis,22 Lyncis,64.9  1.1,,FV
HD 192263 (Phoenicia),HD 192263 (Phoenicia),64.9  1.5,,K2V
HD 35112,HD 35112,64.9  2.0,,KV
WISE 0612-3036,WISE 0612-3036,64.9,,T6
WISE 09290409,WISE 09290409,64.9,,T6.5
HR 3430,HR 3430,65.0  1.3,,GV
Gliese 530,Gliese 530,65.0  1.1,,GV
HD 216520,HD 216520,65.0  0.8,,KV
GD 356,GD 356,65,,DC7
Aldebaran (Alpha Tauri),Aldebaran (Alpha Tauri),65.1  1.3,,K5III
GJ 1233,GJ 1233,65.2  0.7,,GV
Gliese 292.1,Gliese 292.1,65.2  1.4,,KV
Gliese 268.2,Gliese 268.2,65.2  1.3,,KV
GJ 1278,GJ 1278,65.3  1.4,,KV
Gliese 328,Gliese 328,65.3  3.0,,MV
Epsilon Scorpii (Larawag),Epsilon Scorpii (Larawag),65.4  1.1,,K1III
Gliese 342,Gliese 342,65.4  1.4,,KV
Gliese 747.3,Gliese 747.3,65.4  2.0,,KV
53 Aquarii,53 Aquarii A,65.5  3.5,,G1V
53 Aquarii,53 Aquarii B,,,G5V
Gliese 456.1,Gliese 456.1,65.6  1.3,,KV
HD 110810,HD 110810,65.6  1.3,,KV
RR Caeli,RR Caeli A,65.65  1.72,,DA7.8
RR Caeli,RR Caeli B,,,M6V
Alpha Caeli,Alpha Caeli A,65.7  0.7,,F2V
Alpha Caeli,Alpha Caeli B,,,M0.5
81 Cancri,81 Cancri A,65.7  1.4,,G8V
81 Cancri,81 Cancri B,,,K1V
81 Cancri,81 Cancri C,,,L8
81 Cancri,81 Cancri D,,,L8
Gliese 762.2,Gliese 762.2,65.7  1.3,,GV
HD 136923,HD 136923,65.7  1.2,,KV
HD 149806,HD 149806,65.7  1.2,,KV
Hamal (Alpha Arietis),Hamal (Alpha Arietis),65.9  1.3,,K1IIIb
GJ 3620,GJ 3620,65.9  1.7,,KV
Gliese 765.4,Gliese 765.4,65.9  1.1,,KV
GJ 3293,GJ 3293,65.91  0.03,,M2.5
DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,66.0 2.62.4,,L5.5
Kappa Tucanae,Kappa Tucanae,66.04  1.2,,F6IV
HR 8853,HR 8853,66.1  0.8,,FV
Gliese 199,Gliese 199,66.1  3.0,,M1V
Gamma Doradus,Gamma Doradus,66.2  0.7,,F0V
Gliese 836.8,Gliese 836.8,66.2  2.0,,KV
WISE 0413-4750,WISE 0413-4750,66.2,,T9
Gliese 221,Gliese 221 A,66.3 2.32.1,,K7V
Gliese 221,Gliese 221 B,,,M0V
Gliese 840,Gliese 840,66.3  1.3,,KV
GJ 2001,GJ 2001,66.3  1.1,,KV
Tau Cygni,Tau Cygni A,66.4  0.8,,F2IV
Tau Cygni,Tau Cygni B,,,G0V
GJ 3863,GJ 3863,66.4  0.9,,GV
Gliese 558,Gliese 558,66.4  1.8,,KV
HR 6349,HR 6349,66.5  1.2,,FV
9 Ceti,9 Ceti,66.5  1.3,,G3V
Gliese 257.1,Gliese 257.1,66.6  1.3,,KV
GJ 1069,GJ 1069,66.6 6.75.6,,KV
HD 114783,HD 114783,66.6  1.5,,K0V
DK Leonis,DK Leonis,66.6  2.4,,KV
Sigma Ursae Majoris,Sigma Ursae Majoris A,66.7  0.9,,F7IV
Sigma Ursae Majoris,Sigma Ursae Majoris B,,,K2V
HD 30501,HD 30501,66.7  0.9,,KV
GJ 9714,GJ 9714,66.7  2.4,,KV
HR 8531,HR 8531,66.8  0.8,,FV
HD 114613,HD 114613,66.8  1.1,,G3IV
GJ 1262,GJ 1262,66.8  1.1,,GV
Gliese 783.2,Gliese 783.2,66.8  1.3,,KV
GJ 1172,GJ 1172,66.9  2.3,,KV
GJ 3358,GJ 3358,66.9  1.4,,KV
HD 155712,HD 155712,67.0  1.4,,KV
HR 8843,HR 8843,67.1  0.8,,FV
Gliese 217,Gliese 217,67.1  1.4,,KV
Gliese 330.1,Gliese 330.1,67.2  1.8,,MV
WISE 01234142,WISE 01234142,67.2,,T7
WISE 06255646,WISE 06255646,67.2,,T6
GJ 3593,GJ 3593,67.3  1.2,,GV
HD 332518,HD 332518,67.3  1.7,,KV
HD 24496,HD 24496,67.4  1.5,,G7V
Gliese 808.2,Gliese 808.2,67.4  2.6,,KV
CR Draconis,CR Draconis,67.4  1.7,,MV
94 Aquarii,94 Aquarii A,67.6 8.36.6,,G8.5IV
94 Aquarii,94 Aquarii B,,,K2V
GJ 1108,GJ 1108,67.6 4.74.2,,KV
HIP 105533,HIP 105533,67.6  2.3,,MV
Gliese 53.1,Gliese 53.1,67.7  1.5,,KV
GJ 1084,GJ 1084,67.7  1.5,,KV
GJ 1008,GJ 1008,67.7  2.5,,KV
Gliese 30,Gliese 30,67.7  1.5,,KV
Gliese 544,Gliese 544,67.8  1.6,,KV
GJ 1280,GJ 1280,67.9  1.5,,KV
HD 104067,HD 104067,67.9  1.5,,K3V
Gliese 900,Gliese 900 A,68  0.03,,K5-7
Gliese 900,Gliese 900 B,,,M3-4
Gliese 900,Gliese 900 C,,,M5-6
17 Cygni,17 Cygni A,68.0  0.8,,F7V
17 Cygni,17 Cygni B,,,M0.4
HR 7330,HR 7330,68.0  1.9,,GV
Gliese 533,Gliese 533,68.0  2.6,,KV
HR 7631,HR 7631,68.1  0.5,,FV
HR 5,HR 5,68.2  1.3,,GV
Gliese 415,Gliese 415,68.2  2.8,,KV
WISE 08211443,WISE 08211443,68.2,,T5.5
Theta Draconis,Theta Draconis,68.3  0.8,,F9V
13 Ceti,13 Ceti,68.3  1.8,,FV
HR 7260,HR 7260,68.3  1.1,,GV
HD 33564,HD 33564,68.4  0.8,,F6V
Gliese 371,Gliese 371,68.4  2.3,,KV
HD 220221,HD 220221,68.4  1.4,,KV
HR 8013,HR 8013,68.5  1.4,,FV
Gliese 59.1,Gliese 59.1,68.5  0.9,,GV
HR 7914,HR 7914,68.5  1.1,,GV
HD 119802,HD 119802,68.5  1.7,,KV
Gliese 491,Gliese 491,68.5  1.3,,KV
HD 216259,HD 216259,68.6  1.7,,KV
Gliese 396,Gliese 396,68.6  0.9,,KV
HD 124580,HD 124580,68.7  1.2,,FV
71 Orionis,71 Orionis,68.9  1.3,,FV
Gliese 889,Gliese 889,68.9  2.8,,KV
40 Leonis,40 Leonis,69.0  1.2,,F6IV
51 Arietis,51 Arietis,69.0  1.3,,G8V
Gliese 336,Gliese 336,69.0 4.54.0,,MV
Nu Octantis,Nu Octantis,69.1  4.5,,K1III
I Puppis,I Puppis,69.1  0.8,,FIV
V774 Tauri,V774 Tauri,69.1  1.6,,GV
GJ 1165,GJ 1165,69.1  2.9,,KV
Gliese 659,Gliese 659,69.2  2.9,,KV
Gliese 276,Gliese 276,69.3  1.9,,KV
GJ 1048,GJ 1048,69.3  1.6,,KV
HD 210277,HD 210277,69.4  1.2,,G0IV
HR 3578,HR 3578,69.5  1.5,,FV
Gliese 155.2,Gliese 155.2,69.5  1.4,,M1V
HD 97658,HD 97658,69.5  1.5,,K1V
Gliese 122,Gliese 122,69.5  2.1,,M1V
50 Persei,50 Persei,69.6  1.2,,F7V
HR 5070,HR 5070,69.6  0.8,,GV
GJ 3917,GJ 3917,69.6  1.6,,GV
Iota Virginis (Syrma),Iota Virginis (Syrma),69.8  1.3,,F7IV
HR 3220 (B Carinae),HR 3220 (B Carinae),69.8 5.44.7,,F6V
HD 10086,HD 10086,69.8  1.2,,GIV
GJ 3257,GJ 3257,69.8  1.5,,GV
16 Cygni,16 Cygni A,69.8  0.8,,G1.5Vb
16 Cygni,16 Cygni B,,,G2.5Vb
16 Cygni,16 Cygni C,,,M
HD 92945,HD 92945,69.8  1.0,,K1V
Gliese 857.1,Gliese 857.1,69.8  2.6,,KV
GJ 4254,GJ 4254,69.8 14.110.1,,MV
WISE 0448-1935,WISE 0448-1935,69.8,,T5 pec
Kappa Reticuli,Kappa Reticuli,69.9  0.7,,F5V
V775 Herculis,V775 Herculis,69.9  1.6,,KV
GJ 4268,GJ 4268,70.0  1.0,,KV
GJ 3071,GJ 3071,70.0  2.5,,KV
HIP 88976,HIP 88976,70,,MV
HD 215152,HD 215152,70.39  0.04,,K3 V
HD 90089,HD 90089,70.1,,F2V
Gliese 694.2,Gliese 694.2,70.1,,MV
Gliese 799.1,Gliese 799.1,70.2,,DA3
HD 16673,HD 16673,70.3,,FV
HIP 65083,HIP 65083,70.3,,MV
HD 329868,HD 329868,70.3,,MV
GJ 1170,GJ 1170,70.3,,MV
Epsilon Serpentis,Epsilon Serpentis,70.4,,A2Vm
GJ 3059,GJ 3059,70.4,,MV
Zeta Leporis,Zeta Leporis,70.5,,A2IV
84 Ceti,84 Ceti A,70.5,,F7V
84 Ceti,84 Ceti B,,,K2V
HIP 15332,HIP 15332,70.5,,MV
HD 159062,HD 159062 A,70.619,,G9V
HD 159062,HD 159062 B,,,D
Sigma Coronae Borealis,Sigma Coronae Borealis A,70.7,,F9V
Sigma Coronae Borealis,Sigma Coronae Borealis B,,,G0V
WISE 2327-2730,WISE 2327-2730,70.8,,L9
Gliese 747.4,Gliese 747.4,70.9,,MV
Theta Sculptoris,Theta Sculptoris,71.1,,F5V
Alpha Hydri,Alpha Hydri,71.3,,F0IV
Lambda Arae,Lambda Arae,71.3,,F4V
HD 91324,HD 91324 A,71.3,,F9V
HD 91324,HD 91324 B,,,M5
Eta Scorpii,Eta Scorpii,71.6,,F5IV
HD 108954,HD 108954,71.6,,FV
HD 164922,HD 164922,71.69  0.03,,G9V
Gamma Tucanae,Gamma Tucanae,71.8  0.8,,F1III
WISE 0031-3840,WISE 0031-3840,71.8,,L2 pec
Psi1 Draconis (Dziban),Psi1 Draconis (Dziban),71.9,,F5V  F8V
WISE 09521955,WISE 09521955,72.1,,T6
Nu Octantis ( Octantis),Nu Octantis ( Octantis) A,72.1  0.4,,K1III
Nu Octantis ( Octantis),Nu Octantis ( Octantis) B,,,D
WISE 15170529,WISE 15170529,72.4,,T8
WISE 0836-1859,WISE 0836-1859,72.4,,T8 pec
VHS J1256-1257,VHS J1256-1257 A,72.4,,M7.5
VHS J1256-1257,VHS J1256-1257 B,,,M7.5
VHS J1256-1257,VHS J1256-1257 C,,,L7.0
WISE 17176129,WISE 17176129,72.7,,T8
Epsilon Cygni (Aljanah),Epsilon Cygni (Aljanah),72.7  0.2,,K0III
94 Ceti,94 Ceti A,73,,F8V
94 Ceti,94 Ceti B,,,M3V
HD 63433,HD 63433,73.035,,G5V
Mu Cygni,Mu Cygni A,73.1,,F6V
Mu Cygni,Mu Cygni B,,,G2V
WISE 02213842,WISE 02213842,73.1,,T6.5
HD 14214,HD 14214 A,73.1,,G0.5IVb
HD 14214,HD 14214 B,,,M0V
Ross 593,Ross 593,73.12,,M3
18 Puppis,18 Puppis,73.3,,FV
HR 4657,HR 4657,73.6,,FV
HD 139461139460,HD 139461139460,73.8,,FV
HD 167425,HD 167425,73.8,,FV
Alpha Serpentis (Unukalhai),Alpha Serpentis (Unukalhai),74  0.3,,K2 IIIb CN1
EZ Ceti,EZ Ceti,74  5,,G3V
Zeta Virginis,A (Heze),74.1,,A3V
Zeta Virginis,Zeta Virginis B,,,M4V-M7V
39 Leonis,39 Leonis A,74.1,,F6V
39 Leonis,39 Leonis B,,,M1
Upsilon Aquarii,Upsilon Aquarii,74.2  1.2,,F5V
Alpha Librae,Alpha Librae,74.9  0.7,,F3V
WISE 18093838,WISE 18093838,74.4,,T8
WISE 03053954,WISE 03053954,75,,T6
HIP 12961 (Koeia),HIP 12961 (Koeia),75  3,,M0V
Alpha Coronae Borealis (Alphecca),Alpha Coronae Borealis (Alphecca) A,75.0  0.5,,A0V
Alpha Coronae Borealis (Alphecca),Alpha Coronae Borealis (Alphecca) B,,,G5V
Delta Herculis (Sarin),Delta Herculis (Sarin),75.1  0.3,,A3IV
HD 212168,HD 212168,75.17,,G3IV
Chi Ceti,Chi Ceti,75.6  0.5,,F3III
Gamma Tucanae,Gamma Tucanae,75.2,,F4V
Omega Draconis,Omega Draconis,75.6  0.3,,F5V
Alpha Librae (Zubenelgenubi),Alpha Librae (Zubenelgenubi),75.8  0.3,,kA2hA5mA4 IV-V
HD 101177,HD 101177 A,75.83,,G0V
HD 101177,HD 101177 B,,,K2V
Sigma Coronae Borealis,Ca,76.1  0.7,,M2.5V
Sigma Coronae Borealis,Cb,,,M
HD 127334,HD 127334,76.29,,G5VCH0.3
Omega Sagittarii (Terebellum),Omega Sagittarii (Terebellum),76.4  1,,G5IV
Gliese 7,Gliese 7,76.47,,M0V
HD 1461,HD 1461,76.5  0.1,,G3VFe0.5
64 Piscium,64 Piscium A,76.5  0.5,,F8V
64 Piscium,64 Piscium B,,,F8V
HD 167425,HD 167425,76.5  0.1,,F9V
HD 42618,HD 42618,76.65,,G4V
Zeta Serpentis,Zeta Serpentis,76.8  0.6,,F2V
2MASS J083048780128311,2MASS J083048780128311,77,,T4.5
EX Ceti or HD 10008 or BD-07 268 Cetus,EX Ceti or HD 10008 or BD-07 268 Cetus,77,,G5V
HIP 70849,HIP 70849,77,,K7Vk
Mu Cancri,Mu Cancri,77,,G2IV
HD 214953,HD 214953,77,,G0
HD 26491,HD 26491,77.07,,G3V
88 Leonis,88 Leonis A,77.2,,F9.5V
88 Leonis,88 Leonis B,,,G5
KU Librae,KU Librae,77.23,,G8V
WISE 01351715,WISE 01351715,77.3,,T6
Kappa Phoenicis,Kappa Phoenicis,77.7  0.3,,A5IVn
23 Ursae Majoris,23 Ursae Majoris,77.7  0.3,,F0IV
HD 202628,HD 202628,77.73  0.08,,G1.5V
KOBE-1,KOBE-1,77.89  0.04,,K7V
27 Cygni,27 Cygni,78.1  0.2,,G8.5IVa
Lambda Sagittarii (Kaus Borealis),Lambda Sagittarii (Kaus Borealis),78.2,,K0IV
WISE 07337544,WISE 07337544,78.3,,T6
HD 134060,HD 134060,78.4,,G0V Fe0.4 or G3IV
HD 3765,HD 3765,78.5,,K2V
HD 190422,HD 190422,78.6,,F8V
Eta Indi,Eta Indi,78.8  0.5,,A9IV
Wolf 1106,Wolf 1106,78.84,,sdM1.5
12 Persei,12 Persei A,78.9  0.8,,F9V
12 Persei,12 Persei B,,,F
2MASSW J1728114394859,2MASSW J1728114394859 A,79,,L5
2MASSW J1728114394859,2MASSW J1728114394859 B,,,L7
HD 62644,HD 62644,79,,G5IV
HD 121560,HD 121560,79,,F6V
Iota Leonis,Iota Leonis A,79  2,,F3IV
Iota Leonis,Iota Leonis B,,,GV
WISE 10196529,WISE 10196529 A,79  3,,T5.5
WISE 10196529,WISE 10196529 B,,,T7
Regulus (Alpha Leonis),Regulus (Alpha Leonis) B,79.02  0.05,,K2V
Regulus (Alpha Leonis),Regulus (Alpha Leonis) C,,,M4V
HD 76653,HD 76653,79.1  0.2,,F6V
Regulus (Alpha Leonis),Regulus (Alpha Leonis) A,79.3  0.7,,B8IV
Regulus (Alpha Leonis),Ab,,,D
MT Pegasi,MT Pegasi,79.31  0.09,,G1V
HD 156668,HD 156668,79.34  0.03,,K3V
GJ 2097,GJ 2097,79.4,,M2V
37 Ceti,37 Ceti,79.49,,F5V
BZ Ceti,BZ Ceti,79.55,,K2.5Vk
7 Andromedae,7 Andromedae,79.6  0.4,,F1V
HD 195564,HD 195564,79.6  0.6,,G2V
Merak (Beta Ursae Majoris),Merak (Beta Ursae Majoris),79.7  0.3,,A1IVps
